Feature,H_statistic,Raw_p_value,FDR_p_value,Significant_raw,Significant_FDR,Effect_size_eta_squared,Group_counts,Group_means
flesch_reading_ease,35.41841485818679,3.5752685567685005e-06,3.5752685567685005e-05,True,True,0.15901845869290157,"[8, 52, 20, 47, 33, 30, 2]","[np.float64(48.410723797089105), np.float64(45.911076691482435), np.float64(47.58137466345105), np.float64(48.99667257129499), np.float64(46.62013627410719), np.float64(47.34125185877862), np.float64(44.530311901743396)]"
international,31.70240388195996,1.8606682823247212e-05,9.303341411623606e-05,True,True,0.13893191287545925,"[8, 52, 20, 47, 33, 30, 2]","[np.float64(0.15000000000000002), np.float64(0.7461538461538463), np.float64(0.29000000000000004), np.float64(0.20425531914893616), np.float64(0.5636363636363637), np.float64(0.5), np.float64(2.4)]"
vocational,21.028688685285758,0.0018129679353311996,0.004522255698273931,True,True,0.0812361550555987,"[8, 52, 20, 47, 33, 30, 2]","[np.float64(12.3), np.float64(11.519230769230772), np.float64(11.829999999999998), np.float64(12.740425531914893), np.float64(11.533333333333333), np.float64(11.273333333333333), np.float64(9.100000000000001)]"
sentiment_polarity,20.75642016794029,0.0020288979647622215,0.004522255698273931,True,True,0.0797644333402178,"[8, 52, 20, 47, 33, 30, 2]","[np.float64(0.3815002470584111), np.float64(0.37069543369565416), np.float64(0.37939647360581474), np.float64(0.38154597653926725), np.float64(0.37010642320760584), np.float64(0.3730157198023564), np.float64(0.3617991210325999)]"
grammatical_analysis,20.493566714688427,0.0022611278491369655,0.004522255698273931,True,True,0.07834360386318069,"[8, 52, 20, 47, 33, 30, 2]","[np.float64(932.25), np.float64(902.8730769230771), np.float64(898.32), np.float64(930.0), np.float64(925.5696969696968), np.float64(922.3733333333332), np.float64(938.4000000000001)]"
otherTypesOfSchool,7.179525037391935,0.3045635948953381,0.5076059914922302,False,False,0.0063758110129293775,"[8, 52, 20, 47, 33, 30, 2]","[np.float64(0.45), np.float64(0.37692307692307697), np.float64(0.37000000000000005), np.float64(0.4425531914893616), np.float64(0.3939393939393939), np.float64(0.5), np.float64(0.9)]"
academic,4.646570684768869,0.5898734879773704,0.7946728899537814,False,False,0.0,"[8, 52, 20, 47, 33, 30, 2]","[np.float64(22.05), np.float64(21.957692307692305), np.float64(21.89), np.float64(22.046808510638293), np.float64(22.636363636363633), np.float64(21.779999999999998), np.float64(25.2)]"
!,3.9648202332341858,0.6814373565850225,0.7946728899537814,False,False,0.0,"[8, 52, 20, 47, 33, 30, 2]","[np.float64(0.675), np.float64(0.6576923076923078), np.float64(0.61), np.float64(0.6340425531914894), np.float64(0.6242424242424243), np.float64(0.7733333333333333), np.float64(0.5)]"
background,3.4263007835499617,0.7537478351246754,0.7946728899537814,False,False,0.0,"[8, 52, 20, 47, 33, 30, 2]","[np.float64(7.375), np.float64(7.380769230769231), np.float64(7.4300000000000015), np.float64(7.6680851063829785), np.float64(7.654545454545455), np.float64(7.693333333333333), np.float64(7.0)]"
userConsiderations,3.111931238432397,0.7946728899537814,0.7946728899537814,False,False,0.0,"[8, 52, 20, 47, 33, 30, 2]","[np.float64(11.6), np.float64(11.61923076923077), np.float64(11.849999999999998), np.float64(11.885106382978726), np.float64(12.066666666666668), np.float64(11.573333333333332), np.float64(11.0)]"
